"English Word","Frequency"
"tempest","42"
"realm","53"
"valentine","230"
"claudio","174"
"thomas","75"
"percy","77"
"edmund","71"
"poins","103"
"gaunt","69"
"pistol","184"
"elbow","49"
"clarence","210"
"mowbray","60"
"surrey","50"
"gower","53"
"bishop","43"
"oxford","55"
"bedford","48"
"exeter","98"
"talbot","157"
"suffolk","247"
"philip","69"
"protector","50"
"cardinal","144"
"somerset","144"
"tower","78"
"reignier","49"
"margaret","204"
"cromwell","44"
"clifford","134"
"wolsey","100"
"ferdinand","53"
"hubert","94"
"milan","40"
"cinna","40"
"maria","114"
"venice","86"
"duncan","37"
"salerio","48"
"lorenzo","81"
"padua","41"
"fenton","46"
"pandarus","187"
"oberon","45"
"pedro","155"
"claud","124"
"emilia","149"
"lucentio","126"
"miranda","64"
"ariel","91"
"bassianus","45"
"polixenes","84"
"viola","142"
"launce","82"
"julia","145"
"leontes","150"
"paulina","84"
